Country,Happiness score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,IS_HAPPY,Index of institutional trust,Gini coefficient of income,2021,latitude,longitude
Mexico,6.317,9.859,0.831,68.597,0.862,-0.147,0.799,1,0.129,47.5,4.379000187,23.634501,-102.552784
North Macedonia,5.101,9.693,0.805,65.47399999999999,0.7509999999999999,0.038,0.905,0,0.105,32.4,16.20299911,,
Mali,4.723,7.744,0.7240000000000001,51.968999999999994,0.6970000000000001,-0.036000000000000004,0.8270000000000001,0,0.27399999999999997,33.04,7.71999979,17.570692,-3.996166000000001
Malta,6.602,10.674000000000001,0.9309999999999999,72.2,0.927,0.133,0.653,1,0.40299999999999997,28.7,3.499000072,35.937496,14.375416
Myanmar,4.426,8.541,0.779,59.302,0.8759999999999999,0.509,0.66,0,0.621,38.07,2.173000097,,
Montenegro,5.581,9.94,0.858,68.699,0.708,-0.034,0.812,1,0.21600000000000003,31.93,18.48699951,42.708678000000006,19.37439
Mongolia,5.6770000000000005,9.4,0.935,62.5,0.708,0.11599999999999999,0.856,1,0.102,32.35,7.081999778999999,46.862496,103.84665600000001
Mozambique,4.794,7.1579999999999995,0.7440000000000001,54.706,0.882,0.061,0.684,0,0.473,49.417,3.9820001130000002,-18.665695,35.529562
Mauritania,4.227,8.542,0.795,57.161,0.561,-0.106,0.731,0,0.122,32.62,11.463000300000001,21.00789,-10.940835
Mauritius,6.0489999999999995,10.008,0.905,66.70100000000001,0.867,-0.054000000000000006,0.789,1,0.41100000000000003,38.47,7.414000034,-20.348404000000002,57.552152
Malawi,3.6,6.957999999999999,0.537,57.948,0.78,0.038,0.7290000000000001,0,0.32299999999999995,44.69,7.020999907999999,-13.254307999999998,34.301525
Malaysia,5.3839999999999995,10.238,0.8170000000000001,67.102,0.895,0.125,0.8390000000000001,0,0.44299999999999995,41.04,4.609000206,4.210483999999999,101.97576600000001
Namibia,4.574,9.161,0.818,56.799,0.7190000000000001,-0.149,0.847,0,0.311,57.535,21.6779995,-22.957639999999998,18.49041
Niger,5.074,7.098,0.6409999999999999,53.78,0.8059999999999999,0.018000000000000002,0.693,0,0.484,34.28,0.750999987,17.607789,8.081666
Nigeria,4.7589999999999995,8.533,0.74,50.102,0.737,0.037000000000000005,0.878,0,0.2,44.894,9.788000107,9.081999,8.675277000000001
Nicaragua,5.972,8.62,0.8640000000000001,67.657,0.836,0.02,0.664,1,0.28,46.515,5.956999778999999,12.865416,-85.207229
Netherlands,7.4639999999999995,10.932,0.9420000000000001,72.4,0.9129999999999999,0.175,0.33799999999999997,1,0.522,27,4.010000229,52.132633,5.291266
Norway,7.392,11.052999999999999,0.9540000000000001,73.3,0.96,0.09300000000000001,0.27,1,0.606,24.8,4.985000134,60.472024,8.468946
Nepal,5.269,8.12,0.774,64.233,0.782,0.152,0.727,0,0.392,32.84,5.052000046,28.394857000000002,84.12400799999998
New Zealand,7.277,10.642999999999999,0.948,73.4,0.929,0.134,0.242,1,0.527,34.1,4.124000072,-40.900557,174.88597099999996
Pakistan,4.934,8.458,0.6509999999999999,58.708999999999996,0.726,0.098,0.787,0,0.27699999999999997,33.45,4.3520002369999995,30.375321000000003,69.345116
Panama,6.18,10.35,0.8959999999999999,69.652,0.872,-0.166,0.856,1,0.182,49.8,12.088000300000001,8.537981,-80.782127
Peru,5.84,9.458,0.8320000000000001,68.25,0.8220000000000001,-0.154,0.8909999999999999,1,0.096,43.9,4.833000183,-9.189967,-75.015152
Philippines,5.88,9.076,0.83,62,0.917,-0.09699999999999999,0.742,1,0.52,42.23,2.405999899,12.879721,121.77401699999999
Poland,6.166,10.382,0.898,69.702,0.841,-0.165,0.735,1,0.304,27.8,3.3680000310000002,51.919438,19.145135999999997
Portugal,5.928999999999999,10.421,0.879,72.6,0.892,-0.244,0.887,1,0.248,32.1,6.646999836,39.399871999999995,-8.224454
