Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,IS_HAPPY
Bahrain,Middle East and North Africa,6.647,0.068,6.779,6.513999999999999,10.669,0.862,69.495,0.925,0.08900000000000001,0.722,2.43,1.409,0.899,0.662,0.6609999999999999,0.24600000000000002,0.139,2.6310000000000002,1
Malta,Western Europe,6.602,0.044000000000000004,6.688,6.516,10.674000000000001,0.9309999999999999,72.2,0.927,0.133,0.653,2.43,1.411,1.055,0.747,0.664,0.275,0.183,2.2680000000000002,1
Taiwan,East Asia,6.584,0.038,6.659,6.51,10.870999999999999,0.898,69.6,0.784,-0.07,0.721,2.43,1.48,0.982,0.665,0.49,0.142,0.139,2.687,1
United Arab Emirates,Middle East and North Africa,6.561,0.039,6.6370000000000005,6.484,11.085,0.8440000000000001,67.333,0.932,0.07400000000000001,0.589,2.43,1.555,0.86,0.594,0.67,0.23600000000000002,0.223,2.4219999999999997,1
Saudi Arabia,Middle East and North Africa,6.494,0.055999999999999994,6.604,6.3839999999999995,10.743,0.8909999999999999,66.60300000000001,0.877,-0.149,0.684,2.43,1.435,0.9640000000000001,0.5710000000000001,0.603,0.09,0.163,2.668,1
Spain,Western Europe,6.4910000000000005,0.042,6.574,6.4079999999999995,10.571,0.932,74.7,0.7609999999999999,-0.081,0.745,2.43,1.375,1.057,0.826,0.462,0.135,0.124,2.513,1
Italy,Western Europe,6.483,0.045,6.572,6.395,10.623,0.88,73.8,0.693,-0.084,0.866,2.43,1.393,0.94,0.7979999999999999,0.379,0.133,0.047,2.7939999999999996,1
Slovenia,Central and Eastern Europe,6.461,0.043,6.546,6.376,10.529000000000002,0.948,71.4,0.9490000000000001,-0.10099999999999999,0.8059999999999999,2.43,1.36,1.093,0.722,0.69,0.122,0.085,2.388,1
Guatemala,Latin America and Caribbean,6.435,0.073,6.577000000000001,6.292000000000001,9.052999999999999,0.813,64.958,0.9059999999999999,-0.038,0.775,2.43,0.845,0.79,0.519,0.638,0.163,0.105,3.375,1
Uruguay,Latin America and Caribbean,6.431,0.046,6.521,6.341,9.966000000000001,0.925,69.1,0.8959999999999999,-0.092,0.59,2.43,1.1640000000000001,1.042,0.649,0.625,0.128,0.223,2.6,1
Singapore,Southeast Asia,6.377000000000001,0.043,6.46,6.292999999999999,11.488,0.915,76.953,0.927,-0.018000000000000002,0.08199999999999999,2.43,1.695,1.0190000000000001,0.897,0.664,0.17600000000000002,0.547,1.379,1
Kosovo,Central and Eastern Europe,6.372000000000001,0.059000000000000004,6.487,6.257000000000001,9.318,0.821,63.813,0.8690000000000001,0.257,0.917,2.43,0.937,0.807,0.483,0.593,0.35600000000000004,0.013999999999999999,3.182,1
Slovakia,Central and Eastern Europe,6.331,0.040999999999999995,6.4110000000000005,6.251,10.369000000000002,0.9359999999999999,69.20100000000001,0.7659999999999999,-0.124,0.9109999999999999,2.43,1.304,1.0659999999999998,0.653,0.46799999999999997,0.107,0.018000000000000002,2.714,1
Brazil,Latin America and Caribbean,6.33,0.043,6.415,6.245,9.577,0.882,66.601,0.804,-0.071,0.7559999999999999,2.43,1.028,0.9440000000000001,0.5710000000000001,0.514,0.142,0.11699999999999999,3.015,1
Mexico,Latin America and Caribbean,6.317,0.053,6.42,6.212999999999999,9.859,0.831,68.597,0.862,-0.147,0.799,2.43,1.126,0.83,0.634,0.585,0.092,0.08900000000000001,2.9610000000000003,1
Jamaica,Latin America and Caribbean,6.309,0.156,6.615,6.004,9.186,0.877,67.5,0.89,-0.13699999999999998,0.884,2.43,0.8909999999999999,0.932,0.599,0.618,0.099,0.035,3.135,1
Lithuania,Central and Eastern Europe,6.255,0.045,6.343999999999999,6.167000000000001,10.499,0.935,67.906,0.773,-0.203,0.826,2.43,1.35,1.065,0.612,0.47600000000000003,0.055999999999999994,0.073,2.6239999999999997,1
Cyprus,Western Europe,6.223,0.049,6.319,6.127999999999999,10.575999999999999,0.802,73.898,0.763,-0.015,0.8440000000000001,2.43,1.3769999999999998,0.765,0.8009999999999999,0.46399999999999997,0.17800000000000002,0.061,2.5780000000000003,1
Estonia,Central and Eastern Europe,6.189,0.038,6.263,6.115,10.481,0.941,68.8,0.909,-0.106,0.527,2.43,1.344,1.079,0.64,0.6409999999999999,0.11900000000000001,0.263,2.103,1
